"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-04-22T19:22:50.163726339Z,igc-2025-06-14-otaa,23.4,"1,029",24.1,21.9,28.6%,21.2,,,,
2026-04-22T19:24:03.067305490Z,igc-2025-06-14-otaa,23.4,"1,029",24.0,21.9,28.6%,21.2,,,,
2026-04-22T19:25:15.983184447Z,igc-2025-06-14-otaa,23.4,"1,029",24.0,21.9,28.6%,21.2,,,,
2026-04-22T19:26:28.962097017Z,igc-2025-06-14-otaa,23.6,"1,029",24.0,21.9,28.6%,21.2,,,,
2026-04-22T19:27:41.931063356Z,igc-2025-06-14-otaa,23.8,"1,029",24.0,21.9,28.5%,21.2,,,,
2026-04-22T19:28:54.972452380Z,igc-2025-06-14-otaa,23.6,"1,029",24.0,21.9,28.5%,21.2,,,,
2026-04-22T19:30:08.068603812Z,igc-2025-06-14-otaa,23.7,"1,029",24.0,21.9,28.5%,21.2,,,,
2026-04-22T19:31:21.271820472Z,igc-2025-06-14-otaa,23.7,"1,029",24.0,21.9,28.4%,21.2,,,,
2026-04-22T19:32:34.430378525Z,igc-2025-06-14-otaa,23.7,"1,029",24.0,21.9,28.4%,21.2,,,,
2026-04-22T19:33:47.561176986Z,igc-2025-06-14-otaa,23.9,"1,029",24.0,21.9,28.4%,21.2,,,,
2026-04-22T19:35:00.785023676Z,igc-2025-06-14-otaa,23.6,"1,029",24.0,21.9,28.4%,21.2,,,,
2026-04-22T19:36:14.092753419Z,igc-2025-06-14-otaa,23.7,"1,029",24.0,21.9,28.4%,21.2,,,,
2026-04-22T19:37:27.411842410Z,igc-2025-06-14-otaa,23.8,"1,029",24.0,21.9,28.3%,21.2,,,,
2026-04-22T19:38:40.775314887Z,igc-2025-06-14-otaa,23.6,"1,029",24.0,21.9,28.3%,21.2,,,,
2026-04-22T19:39:54.259791765Z,igc-2025-06-14-otaa,24.0,"1,029",24.0,21.9,28.3%,21.2,,,,
2026-04-22T19:41:07.719478939Z,igc-2025-06-14-otaa,23.8,"1,029",24.0,21.9,28.3%,21.2,,,,
2026-04-22T19:42:21.280222679Z,igc-2025-06-14-otaa,23.8,"1,029",24.0,21.9,28.3%,21.2,,,,
2026-04-22T19:43:34.179555536Z,igc-2025-06-14-otaa,24.1,"1,029",24.0,21.9,28.2%,21.2,,,,
