"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-05-27T23:09:17.605150655Z,igc-2025-06-19-otaa,47.2,"1,029",22.7,21.2,28.6%,21.9,2531.08,111,9.1,"{""bme_hum"":47.189998626708984,""bme_pres"":1029.260009765625,""bme_temp"":22.670000076293945,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2531.080078125,""soil_temp"":21.899999618530273,""vr_voltage"":9.10690975189209}"
2026-05-27T23:10:32.114574265Z,igc-2025-06-19-otaa,47.5,"1,029",22.6,21.3,28.6%,21.9,2529.51,111,9.1,"{""bme_hum"":47.459999084472656,""bme_pres"":1029.3699951171875,""bme_temp"":22.649999618530273,""ds_temp"":21.25,""soil_econ"":111,""soil_perm"":2529.510009765625,""soil_temp"":21.899999618530273,""vr_voltage"":9.110357284545898}"
2026-05-27T23:11:46.620200067Z,igc-2025-06-19-otaa,47.4,"1,029",22.6,21.2,28.7%,21.9,2532.21,111,9.1,"{""bme_hum"":47.400001525878906,""bme_pres"":1029.3699951171875,""bme_temp"":22.6299991607666,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.2099609375,""soil_temp"":21.899999618530273,""vr_voltage"":9.112655639648438}"
2026-05-27T23:13:01.223365674Z,igc-2025-06-19-otaa,47.1,"1,029",22.6,21.2,28.6%,21.8,2531.76,112,9.1,"{""bme_hum"":47.119998931884766,""bme_pres"":1029.3699951171875,""bme_temp"":22.610000610351562,""ds_temp"":21.1875,""soil_econ"":112,""soil_perm"":2531.760009765625,""soil_temp"":21.799999237060547,""vr_voltage"":9.10633659362793}"
2026-05-27T23:14:15.864888351Z,igc-2025-06-19-otaa,47.4,"1,029",22.6,21.2,28.6%,21.8,2529.32,111,9.1,"{""bme_hum"":47.369998931884766,""bme_pres"":1029.3499755859375,""bme_temp"":22.600000381469727,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2529.320068359375,""soil_temp"":21.799999237060547,""vr_voltage"":9.096569061279297}"
2026-05-27T23:15:30.514531247Z,igc-2025-06-19-otaa,47.4,"1,029",22.6,21.2,28.6%,21.8,2529.56,111,9.1,"{""bme_hum"":47.439998626708984,""bme_pres"":1029.3499755859375,""bme_temp"":22.600000381469727,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2529.56005859375,""soil_temp"":21.799999237060547,""vr_voltage"":9.102314949035645}"
2026-05-27T23:16:45.223991428Z,igc-2025-06-19-otaa,47.5,"1,029",22.6,21.2,28.7%,21.8,2532.00,112,9.1,"{""bme_hum"":47.5,""bme_pres"":1029.3199462890625,""bme_temp"":22.56999969482422,""ds_temp"":21.1875,""soil_econ"":112,""soil_perm"":2532,""soil_temp"":21.799999237060547,""vr_voltage"":9.100016593933105}"
2026-05-27T23:19:14.774201096Z,igc-2025-06-19-otaa,47.6,"1,029",22.5,21.2,28.6%,21.8,2530.56,111,9.1,"{""bme_hum"":47.59000015258789,""bme_pres"":1029.3499755859375,""bme_temp"":22.549999237060547,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2530.56005859375,""soil_temp"":21.799999237060547,""vr_voltage"":9.086228370666504}"
2026-05-27T23:20:29.589728876Z,igc-2025-06-19-otaa,47.6,"1,029",22.5,21.2,28.6%,21.8,2530.64,111,9.1,"{""bme_hum"":47.619998931884766,""bme_pres"":1029.3199462890625,""bme_temp"":22.549999237060547,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2530.639892578125,""soil_temp"":21.799999237060547,""vr_voltage"":9.088526725769043}"
2026-05-27T23:21:44.509362515Z,igc-2025-06-19-otaa,47.7,"1,029",22.5,21.2,28.6%,21.8,2530.79,111,9.1,"{""bme_hum"":47.65999984741211,""bme_pres"":1029.47998046875,""bme_temp"":22.540000915527344,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2530.7900390625,""soil_temp"":21.799999237060547,""vr_voltage"":9.082781791687012}"
